	Time	Q_in	X_BH	X_I	X_ND	X_P	X_S	S_ALK	S_I	S_ND	S_NH	S_NO	S_O	S_S	X_BA
32	0.31074698	42447.04	8.72666666666667	13.07	13.083	0.01	65.45	30.0	57.1083333333333	8.722	40.495	0.01	0.01	171.325	0.01
33	0.32018089	40801.506	8.72666666666667	13.07	13.083	0.01	65.45	30.0	57.1083333333333	8.722	40.495	0.01	0.01	171.325	0.01
34	0.33064928	39940.78	8.72666666666667	13.07	13.083	0.01	65.45	30.0	57.1083333333333	8.722	40.495	0.01	0.01	171.325	0.01
35	0.3421502	37990.989	8.61333333333333	12.9	12.789	0.01	64.6	30.0	56.3666666666667	8.526	39.585	0.01	0.01	169.1	0.01
36	0.35012723	41162.189	8.61333333333333	12.9	12.789	0.01	64.6	30.0	56.3666666666667	8.526	39.585	0.01	0.01	169.1	0.01
37	0.36025951	40946.513	8.61333333333333	12.9	12.789	0.01	64.6	30.0	56.3666666666667	8.526	39.585	0.01	0.01	169.1	0.01
38	0.3700219	38601.242	8.61333333333333	12.9	12.789	0.01	64.6	30.0	56.3666666666667	8.526	39.585	0.01	0.01	169.1	0.01
39	0.38321427	40249.033	9.06666666666667	13.58	13.377	0.01	68.0	30.0	59.3333333333333	8.918	41.405	0.01	0.01	178.0	0.01
40	0.39049301	39341.391	9.06666666666667	13.58	13.377	0.01	68.0	30.0	59.3333333333333	8.918	41.405	0.01	0.01	178.0	0.01
41	0.40208658	40722.86	9.06666666666667	13.58	13.377	0.01	68.0	30.0	59.3333333333333	8.918	41.405	0.01	0.01	178.0	0.01
42	0.41059116	41227.461	9.06666666666667	13.58	13.377	0.01	68.0	30.0	59.3333333333333	8.918	41.405	0.01	0.01	178.0	0.01
43	0.42026873	39685.998	10.0866666666667	15.11	14.994	0.01	75.65	30.0	66.0083333333333	9.996	46.41	0.01	0.01	198.025	0.01
44	0.43226879	40743.094	10.0866666666667	15.11	14.994	0.01	75.65	30.0	66.0083333333333	9.996	46.41	0.01	0.01	198.025	0.01
45	0.44072448	41040.038	10.0866666666667	15.11	14.994	0.01	75.65	30.0	66.0083333333333	9.996	46.41	0.01	0.01	198.025	0.01
46	0.45114792	41930.998	10.0866666666667	15.11	14.994	0.01	75.65	30.0	66.0083333333333	9.996	46.41	0.01	0.01	198.025	0.01
47	0.46393056	44378.176	11.3333333333333	16.98	16.023	0.01	85.0	30.0	74.1666666666667	10.682	49.595	0.01	0.01	222.5	0.01
48	0.47040642	45215.686	11.3333333333333	16.98	16.023	0.01	85.0	30.0	74.1666666666667	10.682	49.595	0.01	0.01	222.5	0.01
49	0.48139778	43160.742	11.3333333333333	16.98	16.023	0.01	85.0	30.0	74.1666666666667	10.682	49.595	0.01	0.01	222.5	0.01
50	0.49079456	44241.487	11.3333333333333	16.98	16.023	0.01	85.0	30.0	74.1666666666667	10.682	49.595	0.01	0.01	222.5	0.01
51	0.50017121	45375.18	12.4666666666667	18.68	16.611	0.01	93.5	30.0	81.5833333333333	11.074	51.415	0.01	0.01	244.75	0.01
52	0.510399	44745.795	12.4666666666667	18.68	16.611	0.01	93.5	30.0	81.5833333333333	11.074	51.415	0.01	0.01	244.75	0.01
53	0.52063362	41725.262	12.4666666666667	18.68	16.611	0.01	93.5	30.0	81.5833333333333	11.074	51.415	0.01	0.01	244.75	0.01
54	0.53034287	39609.911	12.4666666666667	18.68	16.611	0.01	93.5	30.0	81.5833333333333	11.074	51.415	0.01	0.01	244.75	0.01
55	0.54053569	56164.704	12.4666666666667	18.68	16.611	0.01	93.5	30.0	81.5833333333333	11.074	51.415	0.01	0.01	244.75	0.01
56	0.55173447	51967.741	13.0333333333333	19.53	16.17	0.01	97.75	30.0	85.2916666666667	10.78	50.05	0.01	0.01	255.875	0.01
57	0.5615294	44931.512	13.0333333333333	19.53	16.17	0.01	97.75	30.0	85.2916666666667	10.78	50.05	0.01	0.01	255.875	0.01
58	0.57071222	97466.265	13.0333333333333	19.53	16.17	0.01	97.75	30.0	85.2916666666667	10.78	50.05	0.01	0.01	255.875	0.01
59	0.58285123	117297.05	13.0333333333333	19.53	16.17	0.01	97.75	30.0	85.2916666666667	10.78	50.05	0.01	0.01	255.875	0.01
60	0.59108886	118977.99	13.3733333333333	20.04	15.288	0.01	100.3	30.0	87.5166666666667	10.192	47.32	0.01	0.01	262.55	0.01
61	0.60263813	118259.39	13.3733333333333	20.04	15.288	0.01	100.3	30.0	87.5166666666667	10.192	47.32	0.01	0.01	262.55	0.01
62	0.61089058	117914.81	13.3733333333333	20.04	15.288	0.01	100.3	30.0	87.5166666666667	10.192	47.32	0.01	0.01	262.55	0.01
63	0.62097299	117906.63	13.3733333333333	20.04	15.288	0.01	100.3	30.0	87.5166666666667	10.192	47.32	0.01	0.01	262.55	0.01
64	0.63038919	119387.62	13.3733333333333	20.04	14.994	0.01	100.3	30.0	87.5166666666667	9.996	46.41	0.01	0.01	262.55	0.01
65	0.64286934	121021.43	13.3733333333333	20.04	14.994	0.01	100.3	30.0	87.5166666666667	9.996	46.41	0.01	0.01	262.55	0.01
66	0.65238133	120867.25	13.3733333333333	20.04	14.994	0.01	100.3	30.0	87.5166666666667	9.996	46.41	0.01	0.01	262.55	0.01
67	0.66284249	120123.92	13.3733333333333	20.04	14.994	0.01	100.3	30.0	87.5166666666667	9.996	46.41	0.01	0.01	262.55	0.01
68	0.67286975	117676.81	13.26	19.87	14.994	0.01	99.45	30.0	86.775	9.996	46.41	0.01	0.01	260.325	0.01
69	0.68054648	117300.23	13.26	19.87	14.994	0.01	99.45	30.0	86.775	9.996	46.41	0.01	0.01	260.325	0.01
70	0.69138789	92073.903	13.26	19.87	14.994	0.01	99.45	30.0	86.775	9.996	46.41	0.01	0.01	260.325	0.01
71	0.70197555	44282.25	13.26	19.87	14.994	0.01	99.45	30.0	86.775	9.996	46.41	0.01	0.01	260.325	0.01
72	0.71262215	41308.047	12.8066666666667	19.19	14.994	0.01	96.05	30.0	83.8083333333333	9.996	46.41	0.01	0.01	251.425	0.01
73	0.72025448	41318.26	12.8066666666667	19.19	14.994	0.01	96.05	30.0	83.8083333333333	9.996	46.41	0.01	0.01	251.425	0.01
74	0.73000589	41642.184	12.8066666666667	19.19	14.994	0.01	96.05	30.0	83.8083333333333	9.996	46.41	0.01	0.01	251.425	0.01
75	0.74050781	38195.815	12.8066666666667	19.19	14.994	0.01	96.05	30.0	83.8083333333333	9.996	46.41	0.01	0.01	251.425	0.01
76	0.75016641	42251.576	12.3533333333333	18.51	15.582	0.01	92.65	30.0	80.8416666666667	10.388	48.23	0.01	0.01	242.525	0.01
77	0.76040951	42543.543	12.3533333333333	18.51	15.582	0.01	92.65	30.0	80.8416666666667	10.388	48.23	0.01	0.01	242.525	0.01
78	0.77048288	38262.984	12.3533333333333	18.51	15.582	0.01	92.65	30.0	80.8416666666667	10.388	48.23	0.01	0.01	242.525	0.01
79	0.78020276	44782.74	12.3533333333333	18.51	15.582	0.01	92.65	30.0	80.8416666666667	10.388	48.23	0.01	0.01	242.525	0.01
80	0.79068615	40684.374	12.3533333333333	18.51	15.582	0.01	92.65	30.0	80.8416666666667	10.388	48.23	0.01	0.01	242.525	0.01
81	0.80164747	36482.055	12.1266666666667	18.17	15.729	0.01	90.95	30.0	79.3583333333333	10.486	48.685	0.01	0.01	238.075	0.01
82	0.81248437	36520.947	12.1266666666667	18.17	15.729	0.01	90.95	30.0	79.3583333333333	10.486	48.685	0.01	0.01	238.075	0.01
83	0.82070856	36105.974	12.1266666666667	18.17	15.729	0.01	90.95	30.0	79.3583333333333	10.486	48.685	0.01	0.01	238.075	0.01
84	0.8309936	39224.762	12.1266666666667	18.17	15.729	0.01	90.95	30.0	79.3583333333333	10.486	48.685	0.01	0.01	238.075	0.01
85	0.84126991	45971.544	11.9	17.83	15.141	0.01	89.25	30.0	77.875	10.094	46.865	0.01	0.01	233.625	0.01
86	0.85150417	45007.856	11.9	17.83	15.141	0.01	89.25	30.0	77.875	10.094	46.865	0.01	0.01	233.625	0.01
87	0.86064312	44274.995	11.9	17.83	15.141	0.01	89.25	30.0	77.875	10.094	46.865	0.01	0.01	233.625	0.01
88	0.8739702	43374.889	11.9	17.83	15.141	0.01	89.25	30.0	77.875	10.094	46.865	0.01	0.01	233.625	0.01
89	0.88408527	42982.648	11.9	17.83	14.7	0.01	89.25	30.0	77.875	9.8	45.5	0.01	0.01	233.625	0.01
90	0.89250354	43207.765	11.9	17.83	14.7	0.01	89.25	30.0	77.875	9.8	45.5	0.01	0.01	233.625	0.01
91	0.90064493	41412.597	11.9	17.83	14.7	0.01	89.25	30.0	77.875	9.8	45.5	0.01	0.01	233.625	0.01
92	0.91283874	38858.623	11.9	17.83	14.7	0.01	89.25	30.0	77.875	9.8	45.5	0.01	0.01	233.625	0.01
93	0.92301489	38272.616	12.1266666666667	18.17	14.406	0.01	90.95	30.0	79.3583333333333	9.604	44.59	0.01	0.01	238.075	0.01
94	0.93157368	40711.292	12.1266666666667	18.17	14.406	0.01	90.95	30.0	79.3583333333333	9.604	44.59	0.01	0.01	238.075	0.01
95	0.94249372	45171.333	12.1266666666667	18.17	14.406	0.01	90.95	30.0	79.3583333333333	9.604	44.59	0.01	0.01	238.075	0.01
96	0.95390383	46110.593	12.1266666666667	18.17	14.406	0.01	90.95	30.0	79.3583333333333	9.604	44.59	0.01	0.01	238.075	0.01
97	0.96035692	45832.486	12.1266666666667	18.17	14.406	0.01	90.95	30.0	79.3583333333333	9.604	44.59	0.01	0.01	238.075	0.01
98	0.97021905	44241.638	12.1266666666667	18.17	14.406	0.01	90.95	30.0	79.3583333333333	9.604	44.59	0.01	0.01	238.075	0.01
99	0.98157311	40434.704	12.1266666666667	18.17	14.406	0.01	90.95	30.0	79.3583333333333	9.604	44.59	0.01	0.01	238.075	0.01
100	0.99025556	39740.632	12.1266666666667	18.17	14.406	0.01	90.95	30.0	79.3583333333333	9.604	44.59	0.01	0.01	238.075	0.01
101	1.0001167	44146.575	11.56	17.32	14.7	0.01	86.7	30.0	75.65	9.8	45.5	0.01	0.01	226.95	0.01
102	1.0105764	45304.477	11.56	17.32	14.7	0.01	86.7	30.0	75.65	9.8	45.5	0.01	0.01	226.95	0.01
103	1.0203517	45716.711	11.56	17.32	14.7	0.01	86.7	30.0	75.65	9.8	45.5	0.01	0.01	226.95	0.01
104	1.0313554	44896.054	11.56	17.32	14.7	0.01	86.7	30.0	75.65	9.8	45.5	0.01	0.01	226.95	0.01
105	1.0414925	44072.337	11.56	17.32	14.7	0.01	86.7	30.0	75.65	9.8	45.5	0.01	0.01	226.95	0.01
106	1.051761	47022.123	11.3333333333333	16.98	14.553	0.01	85.0	30.0	74.1666666666667	9.702	45.045	0.01	0.01	222.5	0.01
107	1.0601467	49460.8	11.3333333333333	16.98	14.553	0.01	85.0	30.0	74.1666666666667	9.702	45.045	0.01	0.01	222.5	0.01
108	1.0718365	44486.639	11.3333333333333	16.98	14.553	0.01	85.0	30.0	74.1666666666667	9.702	45.045	0.01	0.01	222.5	0.01
109	1.0825568	48840.032	11.3333333333333	16.98	14.553	0.01	85.0	30.0	74.1666666666667	9.702	45.045	0.01	0.01	222.5	0.01
110	1.091286	48751.534	10.9933333333333	16.47	14.406	0.01	82.45	30.0	71.9416666666667	9.604	44.59	0.01	0.01	215.825	0.01
111	1.1007662	48286.729	10.9933333333333	16.47	14.406	0.01	82.45	30.0	71.9416666666667	9.604	44.59	0.01	0.01	215.825	0.01
112	1.1102346	56008.952	10.9933333333333	16.47	14.406	0.01	82.45	30.0	71.9416666666667	9.604	44.59	0.01	0.01	215.825	0.01
113	1.1209794	49728.99	10.9933333333333	16.47	14.406	0.01	82.45	30.0	71.9416666666667	9.604	44.59	0.01	0.01	215.825	0.01
114	1.1306081	43754.97	10.6533333333333	15.96	14.553	0.01	79.9	30.0	69.7166666666667	9.702	45.045	0.01	0.01	209.15	0.01
115	1.1432724	43005.747	10.6533333333333	15.96	14.553	0.01	79.9	30.0	69.7166666666667	9.702	45.045	0.01	0.01	209.15	0.01
116	1.1521165	36940.868	10.6533333333333	15.96	14.553	0.01	79.9	30.0	69.7166666666667	9.702	45.045	0.01	0.01	209.15	0.01
117	1.16116	37051.359	10.6533333333333	15.96	14.553	0.01	79.9	30.0	69.7166666666667	9.702	45.045	0.01	0.01	209.15	0.01
118	1.1744915	40741.087	10.0866666666667	15.11	14.259	0.01	75.65	30.0	66.0083333333333	9.506	44.135	0.01	0.01	198.025	0.01
119	1.1811859	40236.542	10.0866666666667	15.11	14.259	0.01	75.65	30.0	66.0083333333333	9.506	44.135	0.01	0.01	198.025	0.01
120	1.1922237	41982.436	10.0866666666667	15.11	14.259	0.01	75.65	30.0	66.0083333333333	9.506	44.135	0.01	0.01	198.025	0.01
121	1.2030967	42485.196	10.0866666666667	15.11	14.259	0.01	75.65	30.0	66.0083333333333	9.506	44.135	0.01	0.01	198.025	0.01
122	1.2118198	39133.82	9.52	14.26	13.818	0.01	71.4	30.0	62.3	9.212	42.77	0.01	0.01	186.9	0.01
123	1.2200463	37302.733	9.52	14.26	13.818	0.01	71.4	30.0	62.3	9.212	42.77	0.01	0.01	186.9	0.01
124	1.2331339	38587.831	9.52	14.26	13.818	0.01	71.4	30.0	62.3	9.212	42.77	0.01	0.01	186.9	0.01
125	1.240223	38090.773	9.52	14.26	13.818	0.01	71.4	30.0	62.3	9.212	42.77	0.01	0.01	186.9	0.01
126	1.2501152	40925.839	9.06666666666667	13.58	13.524	0.01	68.0	30.0	59.3333333333333	9.016	41.86	0.01	0.01	178.0	0.01
127	1.2602852	46746.432	9.06666666666667	13.58	13.524	0.01	68.0	30.0	59.3333333333333	9.016	41.86	0.01	0.01	178.0	0.01
128	1.2701712	40056.489	9.06666666666667	13.58	13.524	0.01	68.0	30.0	59.3333333333333	9.016	41.86	0.01	0.01	178.0	0.01
129	1.2803004	45054.723	9.06666666666667	13.58	13.524	0.01	68.0	30.0	59.3333333333333	9.016	41.86	0.01	0.01	178.0	0.01
130	1.2912765	42934.337	9.06666666666667	13.58	13.524	0.01	68.0	30.0	59.3333333333333	9.016	41.86	0.01	0.01	178.0	0.01
131	1.3013362	43486.794	8.72666666666667	13.07	13.083	0.01	65.45	30.0	57.1083333333333	8.722	40.495	0.01	0.01	171.325	0.01
132	1.3117986	42317.618	8.72666666666667	13.07	13.083	0.01	65.45	30.0	57.1083333333333	8.722	40.495	0.01	0.01	171.325	0.01
133	1.3211996	42122.614	8.72666666666667	13.07	13.083	0.01	65.45	30.0	57.1083333333333	8.722	40.495	0.01	0.01	171.325	0.01
134	1.3302304	43270.321	8.72666666666667	13.07	13.083	0.01	65.45	30.0	57.1083333333333	8.722	40.495	0.01	0.01	171.325	0.01
135	1.3418517	42517.765	8.61333333333333	12.9	12.789	0.01	64.6	30.0	56.3666666666667	8.526	39.585	0.01	0.01	169.1	0.01
136	1.3532182	41825.383	8.61333333333333	12.9	12.789	0.01	64.6	30.0	56.3666666666667	8.526	39.585	0.01	0.01	169.1	0.01
137	1.3627829	45734.427	8.61333333333333	12.9	12.789	0.01	64.6	30.0	56.3666666666667	8.526	39.585	0.01	0.01	169.1	0.01
138	1.3717392	44907.4	8.61333333333333	12.9	12.789	0.01	64.6	30.0	56.3666666666667	8.526	39.585	0.01	0.01	169.1	0.01
139	1.3832771	43019.537	9.06666666666667	13.58	13.377	0.01	68.0	30.0	59.3333333333333	8.918	41.405	0.01	0.01	178.0	0.01
140	1.3918872	43899.845	9.06666666666667	13.58	13.377	0.01	68.0	30.0	59.3333333333333	8.918	41.405	0.01	0.01	178.0	0.01
141	1.4020714	44173.046	9.06666666666667	13.58	13.377	0.01	68.0	30.0	59.3333333333333	8.918	41.405	0.01	0.01	178.0	0.01
142	1.414235	44626.227	9.06666666666667	13.58	13.377	0.01	68.0	30.0	59.3333333333333	8.918	41.405	0.01	0.01	178.0	0.01
143	1.4214936	46968.482	10.0866666666667	15.11	14.994	0.01	75.65	30.0	66.0083333333333	9.996	46.41	0.01	0.01	198.025	0.01
144	1.4328023	47064.044	10.0866666666667	15.11	14.994	0.01	75.65	30.0	66.0083333333333	9.996	46.41	0.01	0.01	198.025	0.01
145	1.4416009	47587.803	10.0866666666667	15.11	14.994	0.01	75.65	30.0	66.0083333333333	9.996	46.41	0.01	0.01	198.025	0.01
146	1.4508487	49645.578	10.0866666666667	15.11	14.994	0.01	75.65	30.0	66.0083333333333	9.996	46.41	0.01	0.01	198.025	0.01
147	1.460943	49000.798	11.3333333333333	16.98	16.023	0.01	85.0	30.0	74.1666666666667	10.682	49.595	0.01	0.01	222.5	0.01
148	1.4725482	55927.938	11.3333333333333	16.98	16.023	0.01	85.0	30.0	74.1666666666667	10.682	49.595	0.01	0.01	222.5	0.01
149	1.4817978	46905.191	11.3333333333333	16.98	16.023	0.01	85.0	30.0	74.1666666666667	10.682	49.595	0.01	0.01	222.5	0.01
150	1.4900669	42639.079	11.3333333333333	16.98	16.023	0.01	85.0	30.0	74.1666666666667	10.682	49.595	0.01	0.01	222.5	0.01
151	1.5000662	46487.719	12.4666666666667	18.68	16.611	0.01	93.5	30.0	81.5833333333333	11.074	51.415	0.01	0.01	244.75	0.01
152	1.5103563	42738.445	12.4666666666667	18.68	16.611	0.01	93.5	30.0	81.5833333333333	11.074	51.415	0.01	0.01	244.75	0.01
153	1.5204182	40321.93	12.4666666666667	18.68	16.611	0.01	93.5	30.0	81.5833333333333	11.074	51.415	0.01	0.01	244.75	0.01
154	1.5300237	43287.693	12.4666666666667	18.68	16.611	0.01	93.5	30.0	81.5833333333333	11.074	51.415	0.01	0.01	244.75	0.01
155	1.5406363	43333.941	12.4666666666667	18.68	16.611	0.01	93.5	30.0	81.5833333333333	11.074	51.415	0.01	0.01	244.75	0.01
156	1.5501581	41606.909	13.0333333333333	19.53	16.17	0.01	97.75	30.0	85.2916666666667	10.78	50.05	0.01	0.01	255.875	0.01
157	1.5617094	38512.585	13.0333333333333	19.53	16.17	0.01	97.75	30.0	85.2916666666667	10.78	50.05	0.01	0.01	255.875	0.01
158	1.572524	37610.187	13.0333333333333	19.53	16.17	0.01	97.75	30.0	85.2916666666667	10.78	50.05	0.01	0.01	255.875	0.01
159	1.5815389	36190.444	13.0333333333333	19.53	16.17	0.01	97.75	30.0	85.2916666666667	10.78	50.05	0.01	0.01	255.875	0.01
160	1.591999	42104.417	13.3733333333333	20.04	15.288	0.01	100.3	30.0	87.5166666666667	10.192	47.32	0.01	0.01	262.55	0.01
161	1.6016916	40290.303	13.3733333333333	20.04	15.288	0.01	100.3	30.0	87.5166666666667	10.192	47.32	0.01	0.01	262.55	0.01
162	1.6125677	42613.254	13.3733333333333	20.04	15.288	0.01	100.3	30.0	87.5166666666667	10.192	47.32	0.01	0.01	262.55	0.01
163	1.6203579	43789.484	13.3733333333333	20.04	15.288	0.01	100.3	30.0	87.5166666666667	10.192	47.32	0.01	0.01	262.55	0.01
164	1.6342547	44730.93	13.3733333333333	20.04	14.994	0.01	100.3	30.0	87.5166666666667	9.996	46.41	0.01	0.01	262.55	0.01
165	1.6404932	43353.189	13.3733333333333	20.04	14.994	0.01	100.3	30.0	87.5166666666667	9.996	46.41	0.01	0.01	262.55	0.01
166	1.6509175	42939.427	13.3733333333333	20.04	14.994	0.01	100.3	30.0	87.5166666666667	9.996	46.41	0.01	0.01	262.55	0.01
167	1.6629758	44160.067	13.3733333333333	20.04	14.994	0.01	100.3	30.0	87.5166666666667	9.996	46.41	0.01	0.01	262.55	0.01
168	1.6738908	43626.846	13.26	19.87	14.994	0.01	99.45	30.0	86.775	9.996	46.41	0.01	0.01	260.325	0.01
169	1.6834932	44171.673	13.26	19.87	14.994	0.01	99.45	30.0	86.775	9.996	46.41	0.01	0.01	260.325	0.01
170	1.6952751	44826.939	13.26	19.87	14.994	0.01	99.45	30.0	86.775	9.996	46.41	0.01	0.01	260.325	0.01
171	1.7021694	42935.508	13.26	19.87	14.994	0.01	99.45	30.0	86.775	9.996	46.41	0.01	0.01	260.325	0.01
172	1.7116646	40999.938	12.8066666666667	19.19	14.994	0.01	96.05	30.0	83.8083333333333	9.996	46.41	0.01	0.01	251.425	0.01
173	1.7202402	42967.455	12.8066666666667	19.19	14.994	0.01	96.05	30.0	83.8083333333333	9.996	46.41	0.01	0.01	251.425	0.01
174	1.7300021	43774.659	12.8066666666667	19.19	14.994	0.01	96.05	30.0	83.8083333333333	9.996	46.41	0.01	0.01	251.425	0.01
175	1.7405164	47086.558	12.8066666666667	19.19	14.994	0.01	96.05	30.0	83.8083333333333	9.996	46.41	0.01	0.01	251.425	0.01
176	1.750258	46616.276	12.3533333333333	18.51	15.582	0.01	92.65	30.0	80.8416666666667	10.388	48.23	0.01	0.01	242.525	0.01
177	1.760165	55541.019	12.3533333333333	18.51	15.582	0.01	92.65	30.0	80.8416666666667	10.388	48.23	0.01	0.01	242.525	0.01
178	1.770073	48298.34	12.3533333333333	18.51	15.582	0.01	92.65	30.0	80.8416666666667	10.388	48.23	0.01	0.01	242.525	0.01
179	1.7801049	48420.197	12.3533333333333	18.51	15.582	0.01	92.65	30.0	80.8416666666667	10.388	48.23	0.01	0.01	242.525	0.01
180	1.7904289	44256.732	12.3533333333333	18.51	15.582	0.01	92.65	30.0	80.8416666666667	10.388	48.23	0.01	0.01	242.525	0.01
181	1.8003528	47006.234	12.1266666666667	18.17	15.729	0.01	90.95	30.0	79.3583333333333	10.486	48.685	0.01	0.01	238.075	0.01
182	1.8107295	53192.383	12.1266666666667	18.17	15.729	0.01	90.95	30.0	79.3583333333333	10.486	48.685	0.01	0.01	238.075	0.01
183	1.8216982	45292.777	12.1266666666667	18.17	15.729	0.01	90.95	30.0	79.3583333333333	10.486	48.685	0.01	0.01	238.075	0.01
184	1.8308476	52498.241	12.1266666666667	18.17	15.729	0.01	90.95	30.0	79.3583333333333	10.486	48.685	0.01	0.01	238.075	0.01
185	1.8428287	57210.216	11.9	17.83	15.141	0.01	89.25	30.0	77.875	10.094	46.865	0.01	0.01	233.625	0.01
186	1.8518961	59592.5	11.9	17.83	15.141	0.01	89.25	30.0	77.875	10.094	46.865	0.01	0.01	233.625	0.01
187	1.8636022	60076.046	11.9	17.83	15.141	0.01	89.25	30.0	77.875	10.094	46.865	0.01	0.01	233.625	0.01
188	1.8721637	57801.348	11.9	17.83	15.141	0.01	89.25	30.0	77.875	10.094	46.865	0.01	0.01	233.625	0.01
189	1.8833714	55054.933	11.9	17.83	14.7	0.01	89.25	30.0	77.875	9.8	45.5	0.01	0.01	233.625	0.01
190	1.8907088	55681.474	11.9	17.83	14.7	0.01	89.25	30.0	77.875	9.8	45.5	0.01	0.01	233.625	0.01
191	1.9018633	49561.733	11.9	17.83	14.7	0.01	89.25	30.0	77.875	9.8	45.5	0.01	0.01	233.625	0.01
192	1.9134604	42882.073	11.9	17.83	14.7	0.01	89.25	30.0	77.875	9.8	45.5	0.01	0.01	233.625	0.01
193	1.920679	42411.163	12.1266666666667	18.17	14.406	0.01	90.95	30.0	79.3583333333333	9.604	44.59	0.01	0.01	238.075	0.01
